datetime,num_people
2025-02-19 12:33:50.059299,2
2025-02-19 12:33:50.248895,3
2025-02-19 12:33:50.571334,2
2025-02-19 12:33:50.761296,3
2025-02-19 12:33:50.824492,6
2025-02-19 12:33:50.890985,4
2025-02-19 12:33:50.955078,3
2025-02-19 12:33:51.018069,1
2025-02-19 12:33:51.081478,2
2025-02-19 12:33:51.212824,4
2025-02-19 12:33:51.276339,2
2025-02-19 12:33:51.345082,4
2025-02-19 12:33:51.409680,5
2025-02-19 12:33:51.472437,1
2025-02-19 12:33:51.535740,2
2025-02-19 12:33:51.663638,4
2025-02-19 12:33:51.725687,3
2025-02-19 12:33:51.852301,4
2025-02-19 12:33:51.917328,3
2025-02-19 12:33:51.982531,4
2025-02-19 12:33:52.114160,5
2025-02-19 12:33:52.179185,4
2025-02-19 12:33:52.307072,1
2025-02-19 12:33:52.568000,2
2025-02-19 12:33:52.627699,1
2025-02-19 12:33:52.691796,2
2025-02-19 12:33:52.757780,1
2025-02-19 12:33:52.820529,2
2025-02-19 12:33:52.955800,1
2025-02-19 12:33:53.458884,2
2025-02-19 12:33:54.051768,4
2025-02-19 12:33:54.121334,2
2025-02-19 12:33:54.185298,3
2025-02-19 12:33:54.248577,2
2025-02-19 12:33:54.312381,0
2025-02-19 12:33:54.378487,3
2025-02-19 12:33:54.441571,1
2025-02-19 12:33:54.507985,2
2025-02-19 12:33:54.569777,0
2025-02-19 12:33:54.636309,1
2025-02-19 12:33:54.703055,0
2025-02-19 12:33:54.765407,1
2025-02-19 12:33:54.831281,2
2025-02-19 12:33:54.959218,1
2025-02-19 12:33:55.086164,0
2025-02-19 12:33:55.214120,1
2025-02-19 12:33:55.485116,2
2025-02-19 12:33:55.549836,1
2025-02-19 12:33:55.681362,2
2025-02-19 12:33:55.743635,1
2025-02-19 12:33:56.005924,2
2025-02-19 12:33:56.071816,1
2025-02-19 12:33:56.836848,3
2025-02-19 12:33:56.902690,2
2025-02-19 12:33:56.964522,1
2025-02-19 12:33:57.179122,0
2025-02-19 12:33:57.253718,1
2025-02-19 12:33:57.319530,2
2025-02-19 12:33:57.451116,1
2025-02-19 12:33:57.513568,2
2025-02-19 12:33:57.644206,3
2025-02-19 12:33:57.769158,5
2025-02-19 12:33:57.832387,0
2025-02-19 12:33:57.957868,1
2025-02-19 12:33:58.084846,0
2025-02-19 12:33:58.146768,1
2025-02-19 12:33:58.209089,3
2025-02-19 12:33:58.276324,1
2025-02-19 12:33:58.472730,0
2025-02-19 12:33:58.597216,2
2025-02-19 12:33:58.662383,3
2025-02-19 12:33:58.740573,2
2025-02-19 12:33:58.807707,1
2025-02-19 12:33:58.875028,2
2025-02-19 12:33:58.949681,1
2025-02-19 12:33:59.277542,0
2025-02-19 12:33:59.536424,1
2025-02-19 12:33:59.602292,0
2025-02-19 12:34:00.218474,1
2025-02-19 12:34:00.283026,0
2025-02-19 12:34:00.350065,1
2025-02-19 12:34:00.423767,2
2025-02-19 12:34:00.491323,0
2025-02-19 12:34:00.660299,1
2025-02-19 12:34:00.853674,2
2025-02-19 12:34:00.917177,0
2025-02-19 12:34:01.044593,1
2025-02-19 12:34:01.111715,0
2025-02-19 12:34:01.835285,1
2025-02-19 12:34:01.899067,0
2025-02-19 12:34:01.962855,2
2025-02-19 12:34:02.029607,3
2025-02-19 12:34:02.091148,0
2025-02-19 12:34:02.218161,2
2025-02-19 12:34:02.280369,1
2025-02-19 12:34:02.342665,0
2025-02-19 12:34:02.721976,3
2025-02-19 12:34:02.787503,4
2025-02-19 12:34:02.852246,3
2025-02-19 12:34:03.059309,1
2025-02-19 12:34:03.146713,2
2025-02-19 12:34:03.224375,4
2025-02-19 12:34:03.417042,3
2025-02-19 12:34:03.545016,5
2025-02-19 12:34:03.678167,4
2025-02-19 12:34:03.742143,3
2025-02-19 12:34:03.871583,4
2025-02-19 12:34:04.003473,5
2025-02-19 12:34:04.070304,4
2025-02-19 12:34:04.159897,5
2025-02-19 12:34:04.299794,4
2025-02-19 12:34:04.366558,5
2025-02-19 12:34:04.431398,4
2025-02-19 12:34:04.492810,5
2025-02-19 12:34:04.559298,4
2025-02-19 12:34:04.705764,5
2025-02-19 12:34:04.834880,4
2025-02-19 12:34:04.963821,5
2025-02-19 12:34:05.092348,4
2025-02-19 12:34:05.157754,5
2025-02-19 12:34:05.228256,4
2025-02-19 12:34:05.351920,7
2025-02-19 12:34:05.414396,5
2025-02-19 12:34:05.476922,4
2025-02-19 12:34:05.541840,5
2025-02-19 12:34:05.604264,4
2025-02-19 12:34:05.667025,5
2025-02-19 12:34:05.860387,4
2025-02-19 12:34:05.923575,6
2025-02-19 12:34:05.983847,4
2025-02-19 12:34:06.048089,5
2025-02-19 12:34:06.112091,4
2025-02-19 12:34:06.175115,5
2025-02-19 12:34:06.238466,4
2025-02-19 12:34:06.304345,6
2025-02-19 12:34:06.368654,4
2025-02-19 12:34:06.497944,5
2025-02-19 12:34:06.699395,4
2025-02-19 12:34:06.766259,5
2025-02-19 12:34:06.830700,4
2025-02-19 12:34:07.287216,5
2025-02-19 12:34:07.474466,6
2025-02-19 12:34:07.601721,4
2025-02-19 12:34:07.665581,3
2025-02-19 12:34:07.730347,4
2025-02-19 12:34:07.797266,5
2025-02-19 12:34:07.859859,7
2025-02-19 12:34:07.983952,5
2025-02-19 12:34:08.115602,6
2025-02-19 12:34:08.178456,5
2025-02-19 12:34:08.243991,6
2025-02-19 12:34:08.307964,5
2025-02-19 12:34:08.373630,4
2025-02-19 12:34:08.439660,5
2025-02-19 12:34:08.506601,6
2025-02-19 12:34:08.569998,5
2025-02-19 12:34:08.634762,7
2025-02-19 12:34:08.731796,5
2025-02-19 12:34:08.792164,4
2025-02-19 12:34:08.856116,5
2025-02-19 12:34:09.180007,4
2025-02-19 12:34:09.516800,5
2025-02-19 12:34:09.619949,4
2025-02-19 12:34:09.748368,5
